# Matter power spectrum P(k) at redshift z=0
# for k=1.02841e-05 to 1.55531 h/Mpc,
# number of wavenumbers equal to 600
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.631663036906e-01       5.417907196864e+02 
       3.664225384747e-01       5.318360453679e+02 
       3.696787736963e-01       5.224162468883e+02 
       3.729350093439e-01       5.134757233489e+02 
       3.761912454062e-01       5.049361566453e+02 
       3.794474818727e-01       4.967103524407e+02 
       3.827037187329e-01       4.887210613816e+02 
       3.859599559769e-01       4.809000256467e+02 
       3.892161935949e-01       4.731972782495e+02 
       3.924724315777e-01       4.655760750451e+02 
       3.957286699161e-01       4.580108091968e+02 
       3.989849086015e-01       4.504848828433e+02 
       4.022411476254e-01       4.429928763706e+02 
       4.054973869796e-01       4.355424206994e+02 
       4.087536266561e-01       4.281546037784e+02 
       4.120098666473e-01       4.208616401390e+02 
       4.152661069458e-01       4.136993308121e+02 
       4.185223475443e-01       4.067009297872e+02 
       4.217785884360e-01       3.998909290081e+02 
       4.250348296139e-01       3.932834966255e+02 
       4.282910710717e-01       3.868829156607e+02 
       4.315473128028e-01       3.806880973048e+02 
       4.348035548012e-01       3.746959333877e+02 
       4.380597970609e-01       3.689005951174e+02 
       4.413160395760e-01       3.632944319633e+02 
       4.445722823409e-01       3.578635888544e+02 
       4.478285253503e-01       3.525881796343e+02 
       4.510847685986e-01       3.474449289512e+02 
       4.543410120809e-01       3.424072585363e+02 
       4.575972557920e-01       3.374533285351e+02 
       4.608534997271e-01       3.325678387603e+02 
       4.641097438815e-01       3.277421544198e+02 
       4.673659882506e-01       3.229761129893e+02 
       4.706222328299e-01       3.182690458964e+02 
       4.738784776151e-01       3.136237824866e+02 
       4.771347226018e-01       3.090415561641e+02 
       4.803909677861e-01       3.045260720258e+02 
       4.836472131640e-01       3.000830025795e+02 
       4.869034587314e-01       2.957208724784e+02 
       4.901597044847e-01       2.914507315874e+02 
       4.934159504200e-01       2.872825328752e+02 
       4.966721965340e-01       2.832223877669e+02 
       4.999284428230e-01       2.792707971789e+02 
       5.031846892836e-01       2.754228155242e+02 
       5.064409359125e-01       2.716704166060e+02 
       5.096971827065e-01       2.680048985488e+02 
       5.129534296624e-01       2.644188079218e+02 
       5.162096767772e-01       2.609068081609e+02 
       5.194659240478e-01       2.574641125139e+02 
       5.227221714714e-01       2.540854661287e+02 
       5.259784190450e-01       2.507649624037e+02 
       5.292346667659e-01       2.474953790605e+02 
       5.324909146314e-01       2.442711876265e+02 
       5.357471626389e-01       2.410893926221e+02 
       5.390034107857e-01       2.379507299095e+02 
       5.422596590694e-01       2.348583305302e+02 
       5.455159074875e-01       2.318164974018e+02 
       5.487721560376e-01       2.288282845026e+02 
       5.520284047173e-01       2.258946267943e+02 
       5.552846535243e-01       2.230146711395e+02 
       5.585409024565e-01       2.201867034808e+02 
       5.617971515117e-01       2.174097616077e+02 
       5.650534006877e-01       2.146844876269e+02 
       5.683096499823e-01       2.120119741670e+02 
       5.715658993937e-01       2.093932086550e+02 
       5.748221489198e-01       2.068277475758e+02 
       5.780783985587e-01       2.043128927955e+02 
       5.813346483084e-01       2.018444613595e+02 
       5.845908981671e-01       1.994181494007e+02 
       5.878471481330e-01       1.970308469819e+02 
       5.911033982043e-01       1.946810382456e+02 
       5.943596483793e-01       1.923688606249e+02 
       5.976158986563e-01       1.900940486339e+02 
       6.008721490336e-01       1.878562799172e+02 
       6.041283995096e-01       1.856535008676e+02 
       6.073846500827e-01       1.834836508146e+02 
       6.106409007513e-01       1.813444200894e+02 
       6.138971515139e-01       1.792353007676e+02 
       6.171534023690e-01       1.771570329736e+02 
       6.204096533152e-01       1.751115371990e+02 
       6.236659043511e-01       1.731003570035e+02 
       6.269221554752e-01       1.711242211027e+02 
       6.301784066861e-01       1.691822194549e+02 
