# dimensionless [l(l+1)/2pi] C_l's for scalar adiabatic (AD) mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  132       5.230018298533e-10       1.462103188068e-13      -5.655283798520e-12       0.000000000000e+00       4.311325940610e-12       7.642817658663e-13      -4.874606003706e-15 
  133       5.277890219556e-10       1.468317654690e-13      -5.713472877207e-12       0.000000000000e+00       4.219509240594e-12       7.520290140184e-13      -4.816207576105e-15 
  134       5.325745065762e-10       1.473916507624e-13      -5.769550504367e-12       0.000000000000e+00       4.130219803361e-12       7.400347651846e-13      -4.757157171600e-15 
  135       5.373572562798e-10       1.478894851665e-13      -5.823452722022e-12       0.000000000000e+00       4.043419459367e-12       7.282998278462e-13      -4.697569738643e-15 
  136       5.421361795409e-10       1.483248422129e-13      -5.875116168935e-12       0.000000000000e+00       3.959057455213e-12       7.168237662845e-13      -4.637564162912e-15 
  137       5.469101191633e-10       1.486973600143e-13      -5.924478115100e-12       0.000000000000e+00       3.877070139862e-12       7.056048668782e-13      -4.577263305906e-15 
  138       5.516778506986e-10       1.490067427922e-13      -5.971476496227e-12       0.000000000000e+00       3.797380650863e-12       6.946401044021e-13      -4.516794043538e-15 
  139       5.564380808645e-10       1.492527624057e-13      -6.016049948235e-12       0.000000000000e+00       3.719898600574e-12       6.839251083241e-13      -4.456287304727e-15 
  140       5.611894459645e-10       1.494352598795e-13      -6.058137841734e-12       0.000000000000e+00       3.644519762385e-12       6.734541291039e-13      -4.395878109999e-15 
  141       5.659305103058e-10       1.495541469324e-13      -6.097680316521e-12       0.000000000000e+00       3.571125756936e-12       6.632200044905e-13      -4.335705610074e-15 
  142       5.706597646183e-10       1.496094075055e-13      -6.134618316060e-12       0.000000000000e+00       3.499583738346e-12       6.532141258200e-13      -4.275913124463e-15 
  143       5.753756244737e-10       1.496010992905e-13      -6.168893621977e-12       0.000000000000e+00       3.429746080428e-12       6.434264043137e-13      -4.216648180065e-15 
  144       5.800765605434e-10       1.495293738248e-13      -6.200449431011e-12       0.000000000000e+00       3.361481218131e-12       6.338474565244e-13      -4.158034316922e-15 
  145       5.847615071857e-10       1.493945357837e-13      -6.229232077171e-12       0.000000000000e+00       3.294770261096e-12       6.244754746512e-13      -4.100083291320e-15 
  146       5.894294913214e-10       1.491969924657e-13      -6.255189545713e-12       0.000000000000e+00       3.229619352766e-12       6.153099726327e-13      -4.042774250166e-15 
  147       5.940795033955e-10       1.489372373717e-13      -6.278270983190e-12       0.000000000000e+00       3.166029236914e-12       6.063496070557e-13      -3.986081064019e-15 
  148       5.987104965529e-10       1.486158518398e-13      -6.298426735064e-12       0.000000000000e+00       3.103995122924e-12       5.975921562063e-13      -3.929972203435e-15 
  149       6.033213858157e-10       1.482335066805e-13      -6.315608383304e-12       0.000000000000e+00       3.043506551059e-12       5.890344991224e-13      -3.874410615296e-15 
  150       6.079110472589e-10       1.477909638113e-13      -6.329768783997e-12       0.000000000000e+00       2.984547257741e-12       5.806725946446e-13      -3.819353599153e-15 
  151       6.124783171873e-10       1.472890778922e-13      -6.340862104955e-12       0.000000000000e+00       2.927095040825e-12       5.725014604679e-13      -3.764752683559e-15 
  152       6.170219913119e-10       1.467287979603e-13      -6.348843863316e-12       0.000000000000e+00       2.871121624874e-12       5.645151521937e-13      -3.710553502405e-15 
  153       6.215408239261e-10       1.461111690653e-13      -6.353670963153e-12       0.000000000000e+00       2.816592526434e-12       5.567067423812e-13      -3.656695671260e-15 
  154       6.260335270824e-10       1.454373339040e-13      -6.355301733081e-12       0.000000000000e+00       2.763466919311e-12       5.490682995988e-13      -3.603112663705e-15 
  155       6.304987697689e-10       1.447085344556e-13      -6.353695963860e-12       0.000000000000e+00       2.711697499840e-12       5.415908674762e-13      -3.549731687669e-15 
  156       6.349351770854e-10       1.439261136167e-13      -6.348814946004e-12       0.000000000000e+00       2.661230352171e-12       5.342644437556e-13      -3.496473561767e-15 
  157       6.393413294202e-10       1.430915168364e-13      -6.340621507384e-12       0.000000000000e+00       2.612004813533e-12       5.270779593435e-13      -3.443252591638e-15 
  158       6.437157616264e-10       1.422062937509e-13      -6.329080050835e-12       0.000000000000e+00       2.563953339518e-12       5.200192573625e-13      -3.389976446279e-15 
  159       6.480569621984e-10       1.412720998191e-13      -6.314156591764e-12       0.000000000000e+00       2.517001369348e-12       5.130750722024e-13      -3.336546034381e-15 
  160       6.523633724483e-10       1.402906979573e-13      -6.295818795753e-12       0.000000000000e+00       2.471067191158e-12       5.062310085724e-13      -3.282855380669e-15 
  161       6.566334947253e-10       1.392639265163e-13      -6.274035952335e-12       0.000000000000e+00       2.426078625752e-12       4.994746239248e-13      -3.228816729635e-15 
